total time; actions generated on main search; total time search keeper; actions generated on search keeper
0.38887810707092285;3555;0.2961294651031494;9145076
1.5300641059875488;13059;1.1940548419952393;9334588
0.4691007137298584;5392;0.34490418434143066;9391672
3.5486106872558594;34448;2.598862648010254;9814572
4.346904993057251;44293;3.143328905105591;10329264
0.3001515865325928;2106;0.23755955696105957;10367436
0.0877070426940918;575;0.06884121894836426;10379388
1.832240343093872;14485;1.438598871231079;10621156
0.33412623405456543;2425;0.25508856773376465;10660396
0.30497241020202637;2608;0.22403359413146973;10697236
5.67372989654541;58702;4.0518553256988525;11349540
4.759055852890015;39905;3.8021750450134277;11994864
5.258779525756836;37561;4.279717922210693;12706344
10.90071439743042;123889;7.695134162902832;13915704
0.4423201084136963;4110;0.3137857913970947;13966380
1.0750353336334229;8129;0.8359246253967285;14103916
0.445068359375;4665;0.3224601745605469;14154592
0.07263636589050293;574;0.04100155830383301;14160996
0.6729340553283691;5881;0.4859333038330078;14238908
3.802053689956665;43154;2.6567490100860596;14663932
3.821646213531494;34325;2.898585319519043;15130024
1.094297170639038;6610;0.8839995861053467;15281480
9.99038577079773;98581;7.095573663711548;16406392
1.5124361515045166;12663;1.1557269096374512;16591108
2.321826219558716;22984;1.570450782775879;16822936
7.362472295761108;56166;5.8650524616241455;17741912
2.855013847351074;22174;2.2675442695617676;18121688
1.844233751296997;9273;1.5345492362976074;18386876
5.697350740432739;40865;4.593622207641602;19144240
4.614641427993774;42558;3.4571547508239746;19703376
3.825202226638794;23972;3.0905017852783203;20217044
17.538843154907227;123976;13.634950876235962;22421324
2.6621198654174805;25993;1.8008184432983398;22698540
2.907006025314331;28544;2.240950107574463;23064972
4.795480012893677;38832;3.6464364528656006;23652344
0.12514519691467285;402;0.1082606315612793;23669180
1.4491195678710938;9183;1.199826717376709;23867940
10.210512161254883;115903;7.369304656982422;25066952
7.87982177734375;63301;6.230431795120239;26078832
16.627567291259766;139285;12.701237440109253;28092780
1.8913800716400146;18237;1.4051573276519775;28314760
5.100106239318848;39976;3.999514579772949;28952560
50.37026858329773;318937;41.517019748687744;35547004
144.20186138153076;1138753;107.35704326629639;52385700
36.96920371055603;206328;29.720614910125732;57191196
10.95260739326477;98505;7.931103467941284;58460500
6.396904945373535;70528;3.8255045413970947;59073348
7.78104305267334;43157;6.467482089996338;60157040
5.017040014266968;49247;3.689037799835205;60748848
24.578755378723145;217860;17.726624488830566;63555988
37.69294810295105;309426;29.290464878082275;68225108
0.031167030334472656;176;0.01554250717163086;68227416
27.16894507408142;152261;22.48942995071411;71889920
6.738271236419678;59922;5.050766229629517;72715752
1.8429503440856934;13596;1.4420006275177002;72953200
0.015087366104125977;5;0.014739274978637695;72955792
